code,name,market,max_position,first_price,final_price,price_return,total_trades,total_invested,final_value,unrealized_pnl,strategy_return,buy_hold_return,excess_return
000559,万向钱潮,A股,500000,14.518196653107848,37.20178580882883,156.24247072631573,22,499911.77372641605,0.0,-6.366462912410498e-12,-1.273517297853168e-15,156.24247072631573,-156.24247072631573
000878,云南铜业,A股,500000,13.503113919070367,7.037409280901161,-47.88306369124036,20,499943.486363509,0.0,0.0,0.0,-47.88306369124036,47.88306369124036
002050,三花智控,A股,500000,33.31760600058221,54.89916350586103,64.77523476597237,21,499810.0856421435,0.0,0.0,0.0,64.77523476597237,-64.77523476597237
002594,比亚迪,A股,500000,149.23816649416602,120.24038174085965,-19.430542088869707,21,499118.33321103494,0.0,-7.275957614183426e-12,-1.4577620435967915e-15,-19.4305420888697,19.4305420888697
300229,拓尔思,A股,500000,45.56150152640538,13.955309854524884,-69.37039081901851,22,499824.3096372115,0.0,-9.094947017729282e-13,-1.8196287860289721e-16,-69.37039081901851,69.37039081901851
300316,晶盛机电,A股,500000,37.88816013941244,143.00539311894732,277.44084852034996,21,499840.96004053194,0.0,0.0,0.0,277.44084852034996,-277.44084852034996
300442,润泽科技,A股,500000,70.6063050891316,497.14683575899255,604.1111061277136,22,499597.90313023,0.0,0.0,0.0,604.1111061277135,-604.1111061277135
601600,中国铝业,A股,500000,9.926912461381754,2.5290113589483134,-74.52368630440917,20,499950.6767995886,0.0,0.0,0.0,-74.52368630440917,74.52368630440917
688795,摩尔线程,A股,500000,330.35667487206035,133.6380130470606,-59.54735496147745,19,498921.1105391837,0.0,0.0,0.0,-59.54735496147745,59.54735496147745
00700,腾讯控股,港股,1500000,344.0788816665006,280.67596230503034,-18.426855799573225,22,1498294.7814662573,12349.742341421335,-4447.1139304679,-0.2968116812177559,-18.426855799573218,18.130044118355464
00285,比亚迪电子,港股,1500000,29.290666259502974,198.4385601557243,577.4805270649775,20,1498845.7481033744,0.0,0.0,0.0,577.4805270649777,-577.4805270649777
09988,阿里巴巴,港股,1500000,87.2784153619698,100.61767010663836,15.283566606183962,22,1499381.7205234678,0.0,0.0,0.0,15.283566606183962,-15.283566606183962
