date,code,open,high,low,close,volume,stock_code,stock_name,market
2022-01-04,sz.000559,6.4,6.43,6.3,6.4,24873841.0,000559,万向钱潮,SZ
2022-01-05,sz.000559,6.37,6.39,6.25,6.26,21956820.0,000559,万向钱潮,SZ
2022-01-06,sz.000559,6.24,6.32,6.21,6.31,14182060.0,000559,万向钱潮,SZ
2022-01-07,sz.000559,6.3,6.33,6.09,6.12,25340444.0,000559,万向钱潮,SZ
2022-01-10,sz.000559,6.13,6.21,6.11,6.15,12096403.0,000559,万向钱潮,SZ
2022-01-11,sz.000559,6.16,6.3,6.15,6.2,12900182.0,000559,万向钱潮,SZ
2022-01-12,sz.000559,6.21,6.25,6.2,6.23,9889146.0,000559,万向钱潮,SZ
2022-01-13,sz.000559,6.23,6.23,6.14,6.17,11682199.0,000559,万向钱潮,SZ
2022-01-14,sz.000559,6.15,6.22,6.09,6.11,13069742.0,000559,万向钱潮,SZ
2022-01-17,sz.000559,6.11,6.31,6.11,6.28,20050932.0,000559,万向钱潮,SZ
2022-01-18,sz.000559,6.28,6.31,6.22,6.3,13331268.0,000559,万向钱潮,SZ
2022-01-19,sz.000559,6.28,6.31,6.16,6.21,11517863.0,000559,万向钱潮,SZ
2022-01-20,sz.000559,6.19,6.2,6.1,6.12,11562751.0,000559,万向钱潮,SZ
2022-01-21,sz.000559,6.09,6.13,5.89,5.91,18788966.0,000559,万向钱潮,SZ
2022-01-24,sz.000559,5.87,5.95,5.83,5.87,8778438.0,000559,万向钱潮,SZ
2022-01-25,sz.000559,5.89,5.92,5.7,5.72,13771015.0,000559,万向钱潮,SZ
2022-01-26,sz.000559,5.73,5.78,5.66,5.68,10459255.0,000559,万向钱潮,SZ
2022-01-27,sz.000559,5.74,5.79,5.61,5.61,10981553.0,000559,万向钱潮,SZ
2022-01-28,sz.000559,5.7,5.72,5.52,5.62,11243589.0,000559,万向钱潮,SZ
2022-02-07,sz.000559,5.72,5.77,5.67,5.74,11749706.0,000559,万向钱潮,SZ
2022-02-08,sz.000559,5.74,5.82,5.7,5.81,11047507.0,000559,万向钱潮,SZ
2022-02-09,sz.000559,5.8,5.9,5.8,5.89,9641729.0,000559,万向钱潮,SZ
2022-02-10,sz.000559,5.88,5.96,5.86,5.9,10510601.0,000559,万向钱潮,SZ
2022-02-11,sz.000559,5.88,5.93,5.85,5.85,10155786.0,000559,万向钱潮,SZ
2022-02-14,sz.000559,5.86,5.89,5.82,5.86,8136565.0,000559,万向钱潮,SZ
2022-02-15,sz.000559,5.93,6.32,5.9,6.06,26671457.0,000559,万向钱潮,SZ
2022-02-16,sz.000559,6.0,6.08,5.95,6.04,14318610.0,000559,万向钱潮,SZ
2022-02-17,sz.000559,6.03,6.04,5.94,5.95,9153858.0,000559,万向钱潮,SZ
2022-02-18,sz.000559,5.9,6.02,5.89,6.01,7770254.0,000559,万向钱潮,SZ
2022-02-21,sz.000559,6.0,6.07,5.97,6.05,9406153.0,000559,万向钱潮,SZ
