date,code,open,high,low,close,volume,stock_code,stock_name,market
2022-01-04,sz.002050,25.37,26.4,24.98,25.68,40895881,002050,三花智控,SZ
2022-01-05,sz.002050,25.56,25.72,24.6,24.87,29675619,002050,三花智控,SZ
2022-01-06,sz.002050,24.85,25.11,24.18,24.41,20446429,002050,三花智控,SZ
2022-01-07,sz.002050,24.49,25.5,24.2,24.91,29848110,002050,三花智控,SZ
2022-01-10,sz.002050,24.76,25.44,24.36,25.26,18646594,002050,三花智控,SZ
2022-01-11,sz.002050,25.19,25.25,24.5,24.6,12713106,002050,三花智控,SZ
2022-01-12,sz.002050,24.51,25.22,24.42,25.12,14147106,002050,三花智控,SZ
2022-01-13,sz.002050,25.15,25.26,24.42,24.5,10919511,002050,三花智控,SZ
2022-01-14,sz.002050,24.52,24.58,24.0,24.11,15009217,002050,三花智控,SZ
2022-01-17,sz.002050,24.0,24.56,23.82,24.39,15538802,002050,三花智控,SZ
2022-01-18,sz.002050,24.35,24.65,24.16,24.5,8030540,002050,三花智控,SZ
2022-01-19,sz.002050,24.4,24.71,24.18,24.4,11564392,002050,三花智控,SZ
2022-01-20,sz.002050,24.31,24.4,23.03,23.14,34690688,002050,三花智控,SZ
2022-01-21,sz.002050,23.14,23.23,22.33,22.64,39822305,002050,三花智控,SZ
2022-01-24,sz.002050,22.51,22.84,22.21,22.33,30565333,002050,三花智控,SZ
2022-01-25,sz.002050,22.59,22.82,21.7,21.83,28552231,002050,三花智控,SZ
2022-01-26,sz.002050,21.85,22.16,20.56,20.7,56370524,002050,三花智控,SZ
2022-01-27,sz.002050,20.82,20.82,18.63,18.96,104736060,002050,三花智控,SZ
2022-01-28,sz.002050,19.15,19.71,18.86,19.11,49320845,002050,三花智控,SZ
2022-02-07,sz.002050,19.54,19.66,18.95,19.23,27580763,002050,三花智控,SZ
2022-02-08,sz.002050,19.28,19.5,18.92,19.45,20335979,002050,三花智控,SZ
2022-02-09,sz.002050,19.48,19.48,19.12,19.33,24816819,002050,三花智控,SZ
2022-02-10,sz.002050,19.33,19.5,18.97,19.19,26535863,002050,三花智控,SZ
2022-02-11,sz.002050,19.08,19.13,18.7,18.83,17839968,002050,三花智控,SZ
2022-02-14,sz.002050,18.7,18.94,18.07,18.94,33036433,002050,三花智控,SZ
2022-02-15,sz.002050,18.65,18.9,18.39,18.84,23640121,002050,三花智控,SZ
2022-02-16,sz.002050,19.1,19.21,18.71,18.88,27628289,002050,三花智控,SZ
2022-02-17,sz.002050,18.9,19.32,18.81,19.18,25729766,002050,三花智控,SZ
2022-02-18,sz.002050,19.09,19.23,18.73,19.23,20049072,002050,三花智控,SZ
2022-02-21,sz.002050,19.18,19.76,19.05,19.67,30495508,002050,三花智控,SZ
2022-02-22,sz.002050,19.46,19.66,19.31,19.56,17361998,002050,三花智控,SZ
2022-02-23,sz.002050,19.53,19.85,19.46,19.81,17203486,002050,三花智控,SZ
2022-02-24,sz.002050,19.77,20.48,19.57,19.95,38373156,002050,三花智控,SZ
2022-02-25,sz.002050,20.09,20.37,20.0,20.32,19773540,002050,三花智控,SZ
2022-02-28,sz.002050,20.26,20.33,19.86,20.1,24581238,002050,三花智控,SZ
2022-03-01,sz.002050,20.18,20.58,20.15,20.44,20578041,002050,三花智控,SZ
2022-03-02,sz.002050,20.34,20.4,20.06,20.19,11552639,002050,三花智控,SZ
2022-03-03,sz.002050,20.26,20.27,19.7,19.74,12397570,002050,三花智控,SZ
2022-03-04,sz.002050,19.6,19.7,19.09,19.2,23138844,002050,三花智控,SZ
2022-03-07,sz.002050,19.1,19.2,18.15,18.22,26524085,002050,三花智控,SZ
2022-03-08,sz.002050,18.08,18.3,17.08,17.43,30760167,002050,三花智控,SZ
2022-03-09,sz.002050,17.15,17.39,15.72,16.43,49033952,002050,三花智控,SZ
2022-03-10,sz.002050,17.07,17.36,16.77,17.2,28873763,002050,三花智控,SZ
2022-03-11,sz.002050,16.9,17.13,16.6,17.11,27403136,002050,三花智控,SZ
2022-03-14,sz.002050,16.95,16.98,16.58,16.58,15838718,002050,三花智控,SZ
2022-03-15,sz.002050,16.5,16.6,15.62,15.67,23508831,002050,三花智控,SZ
2022-03-16,sz.002050,16.0,16.51,15.39,16.42,26291372,002050,三花智控,SZ
2022-03-17,sz.002050,16.7,17.15,16.45,16.86,26921197,002050,三花智控,SZ
2022-03-18,sz.002050,16.9,17.07,16.7,16.89,26531561,002050,三花智控,SZ
2022-03-21,sz.002050,16.89,17.42,16.8,17.07,19740273,002050,三花智控,SZ
2022-03-22,sz.002050,16.89,17.08,16.82,17.02,10467383,002050,三花智控,SZ
2022-03-23,sz.002050,17.03,17.29,16.91,16.95,14335208,002050,三花智控,SZ
2022-03-24,sz.002050,16.82,17.14,16.68,16.97,12507427,002050,三花智控,SZ
2022-03-25,sz.002050,16.99,17.38,16.69,16.71,17417165,002050,三花智控,SZ
2022-03-28,sz.002050,16.85,16.97,16.46,16.92,14172121,002050,三花智控,SZ
2022-03-29,sz.002050,17.09,17.09,16.77,16.78,13485546,002050,三花智控,SZ
2022-03-30,sz.002050,16.83,17.17,16.73,17.08,15861888,002050,三花智控,SZ
2022-03-31,sz.002050,16.9,16.93,16.51,16.62,11159673,002050,三花智控,SZ
2022-04-01,sz.002050,16.46,17.06,16.41,17.01,14471014,002050,三花智控,SZ
2022-04-06,sz.002050,16.94,17.31,16.81,17.13,15189795,002050,三花智控,SZ
