date,stock_code,stock_name,market,open,high,low,close,volume
2022-03-11,00285,比亚迪电子,HK,18.44,17.4,18.5,18.26,16443659
2022-03-14,00285,比亚迪电子,HK,17.8,15.92,17.8,16.72,20814757
2022-03-15,00285,比亚迪电子,HK,16.64,15.72,18.0,16.16,17457435
2022-03-16,00285,比亚迪电子,HK,17.18,16.18,18.36,18.26,17403196
2022-03-17,00285,比亚迪电子,HK,19.5,18.76,19.82,19.36,12886643
2022-03-18,00285,比亚迪电子,HK,19.14,18.0,19.14,18.82,9255391
2022-03-21,00285,比亚迪电子,HK,19.6,18.5,19.66,18.62,6238388
2022-03-22,00285,比亚迪电子,HK,18.62,18.38,19.36,19.36,6252839
2022-03-23,00285,比亚迪电子,HK,19.36,18.8,20.0,19.02,12574604
2022-03-24,00285,比亚迪电子,HK,18.98,18.16,18.98,18.28,11275479
2022-03-25,00285,比亚迪电子,HK,18.36,16.74,18.76,16.92,19741650
2022-03-28,00285,比亚迪电子,HK,17.14,16.3,17.56,17.14,12007061
2022-03-29,00285,比亚迪电子,HK,17.5,16.86,17.64,17.1,10240917
2022-03-30,00285,比亚迪电子,HK,16.68,15.86,16.7,16.42,30655508
2022-03-31,00285,比亚迪电子,HK,16.42,15.32,16.66,15.8,16697582
2022-04-01,00285,比亚迪电子,HK,15.54,15.4,16.56,16.4,8777521
2022-04-04,00285,比亚迪电子,HK,16.5,16.48,17.48,17.42,8010900
2022-04-06,00285,比亚迪电子,HK,17.2,16.1,17.2,16.3,13814520
2022-04-07,00285,比亚迪电子,HK,16.16,15.86,16.68,15.88,9510745
2022-04-08,00285,比亚迪电子,HK,15.8,15.6,16.1,15.92,5087486
2022-04-11,00285,比亚迪电子,HK,15.92,14.92,15.92,15.0,9568590
2022-04-12,00285,比亚迪电子,HK,15.0,14.48,15.3,15.04,10507531
2022-04-13,00285,比亚迪电子,HK,15.1,14.82,15.24,14.92,5957467
2022-04-14,00285,比亚迪电子,HK,15.18,14.86,15.26,15.06,8342088
2022-04-19,00285,比亚迪电子,HK,14.68,14.52,15.16,14.66,7836758
2022-04-20,00285,比亚迪电子,HK,14.66,14.6,15.14,14.86,5303265
2022-04-21,00285,比亚迪电子,HK,14.8,14.28,14.98,14.4,5013530
2022-04-22,00285,比亚迪电子,HK,14.4,13.86,14.54,14.44,5832913
2022-04-25,00285,比亚迪电子,HK,13.68,13.4,14.44,13.64,7802510
2022-04-26,00285,比亚迪电子,HK,13.9,13.5,14.14,13.6,7114301
2022-04-27,00285,比亚迪电子,HK,13.6,13.46,15.3,15.22,21038715
2022-04-28,00285,比亚迪电子,HK,15.0,14.68,15.6,15.02,12280639
2022-04-29,00285,比亚迪电子,HK,15.12,14.9,16.24,16.06,16969328
2022-05-03,00285,比亚迪电子,HK,16.06,15.6,16.2,15.66,8311414
