date,stock_code,stock_name,market,open,high,low,close,volume
2022-03-11,00700,腾讯控股,HK,369.0,360.0,375.4,367.8,48435608
2022-03-14,00700,腾讯控股,HK,353.0,330.0,359.6,331.8,66910165
2022-03-15,00700,腾讯控股,HK,305.2,297.0,333.2,298.0,118398276
2022-03-16,00700,腾讯控股,HK,315.2,310.4,370.8,367.0,107736861
2022-03-17,00700,腾讯控股,HK,401.0,373.6,401.0,390.0,69692613
2022-03-18,00700,腾讯控股,HK,380.0,371.0,392.8,381.0,37714558
2022-03-21,00700,腾讯控股,HK,392.2,370.4,392.4,372.4,30703044
2022-03-22,00700,腾讯控股,HK,370.0,362.0,389.0,388.0,31006056
2022-03-23,00700,腾讯控股,HK,399.0,385.2,403.6,389.0,42256861
2022-03-24,00700,腾讯控股,HK,373.0,365.0,381.6,366.0,46931459
2022-03-25,00700,腾讯控股,HK,358.6,351.0,368.4,356.4,38297070
2022-03-28,00700,腾讯控股,HK,358.0,354.0,372.6,366.4,26933320
2022-03-29,00700,腾讯控股,HK,371.0,370.0,380.4,377.2,20901992
2022-03-30,00700,腾讯控股,HK,383.0,380.2,388.6,380.6,26951872
2022-03-31,00700,腾讯控股,HK,382.4,372.6,382.4,374.2,14589554
2022-04-01,00700,腾讯控股,HK,367.0,362.2,378.8,378.8,14496674
2022-04-04,00700,腾讯控股,HK,388.8,383.8,391.0,390.0,15665556
2022-04-06,00700,腾讯控股,HK,383.0,380.0,385.0,381.0,17127923
2022-04-07,00700,腾讯控股,HK,375.6,373.8,383.6,374.4,15874056
2022-04-08,00700,腾讯控股,HK,370.0,366.0,372.2,369.6,19600870
2022-04-11,00700,腾讯控股,HK,366.0,353.0,366.2,353.6,22788891
2022-04-12,00700,腾讯控股,HK,363.8,358.6,372.6,366.4,26409818
2022-04-13,00700,腾讯控股,HK,366.0,361.8,379.0,373.6,21642119
2022-04-14,00700,腾讯控股,HK,378.8,372.6,379.0,374.4,15160373
2022-04-19,00700,腾讯控股,HK,365.8,361.0,367.6,364.0,17741106
2022-04-20,00700,腾讯控股,HK,364.6,361.6,368.8,362.0,10853604
2022-04-21,00700,腾讯控股,HK,352.0,343.0,356.2,348.0,25738562
2022-04-22,00700,腾讯控股,HK,334.8,334.2,343.0,340.6,28031299
2022-04-25,00700,腾讯控股,HK,332.2,325.2,338.6,327.4,25788422
2022-04-26,00700,腾讯控股,HK,332.2,330.6,341.6,335.8,27288328
2022-04-27,00700,腾讯控股,HK,332.0,328.2,338.6,334.8,23408627
2022-04-28,00700,腾讯控股,HK,340.6,331.2,340.6,339.8,21233188
2022-04-29,00700,腾讯控股,HK,339.0,337.4,388.0,377.4,47467097
2022-05-03,00700,腾讯控股,HK,379.0,365.4,384.8,380.0,25571291
2022-05-04,00700,腾讯控股,HK,374.4,366.2,375.8,368.4,14101831
2022-05-05,00700,腾讯控股,HK,375.8,366.4,378.0,366.4,21393922
2022-05-06,00700,腾讯控股,HK,352.6,347.0,355.4,349.2,22923262
2022-05-10,00700,腾讯控股,HK,332.0,330.0,345.4,341.2,28398736
2022-05-11,00700,腾讯控股,HK,339.6,339.6,362.0,350.4,24348791
2022-05-12,00700,腾讯控股,HK,342.8,341.8,352.2,344.2,20022898
2022-05-13,00700,腾讯控股,HK,350.0,350.0,357.2,354.4,19487577
2022-05-16,00700,腾讯控股,HK,360.0,347.2,362.4,350.0,15558023
2022-05-17,00700,腾讯控股,HK,354.4,354.4,369.4,368.4,30117051
2022-05-18,00700,腾讯控股,HK,375.2,358.0,375.2,365.6,28343560
2022-05-19,00700,腾讯控股,HK,342.0,334.0,343.6,341.8,60149532
2022-05-20,00700,腾讯控股,HK,348.0,346.0,354.8,352.2,28325659
2022-05-23,00700,腾讯控股,HK,349.6,342.0,350.6,346.8,17034672
2022-05-24,00700,腾讯控股,HK,342.8,336.4,347.6,338.0,19699960
2022-05-25,00700,腾讯控股,HK,334.8,334.0,339.8,334.0,21553207
2022-05-26,00700,腾讯控股,HK,335.0,330.0,335.8,334.2,18496371
2022-05-27,00700,腾讯控股,HK,345.6,338.2,347.8,341.8,20760810
2022-05-30,00700,腾讯控股,HK,345.8,344.4,351.2,350.0,22298377
2022-05-31,00700,腾讯控股,HK,349.0,346.4,363.0,362.4,64756621
2022-06-01,00700,腾讯控股,HK,362.0,357.8,366.2,360.4,26920272
2022-06-02,00700,腾讯控股,HK,355.0,353.8,360.6,359.0,14182488
2022-06-06,00700,腾讯控股,HK,362.0,356.0,369.4,367.6,23900121
2022-06-07,00700,腾讯控股,HK,372.0,363.0,374.8,367.6,27086986
2022-06-08,00700,腾讯控股,HK,375.0,373.2,391.4,391.4,47476909
2022-06-09,00700,腾讯控股,HK,404.0,389.0,406.8,394.8,39147100
2022-06-10,00700,腾讯控股,HK,384.4,383.0,398.2,396.4,29755765
2022-06-13,00700,腾讯控股,HK,383.6,373.6,386.8,377.0,24938012
2022-06-14,00700,腾讯控股,HK,367.4,367.4,378.4,376.0,16307664
2022-06-15,00700,腾讯控股,HK,376.0,375.2,382.2,379.8,21242678
2022-06-16,00700,腾讯控股,HK,380.0,364.0,382.4,367.6,22143706
2022-06-17,00700,腾讯控股,HK,361.8,361.8,374.6,369.4,19483010
2022-06-20,00700,腾讯控股,HK,370.0,364.6,374.0,370.8,11639693
2022-06-21,00700,腾讯控股,HK,371.8,370.2,381.0,381.0,15013276
2022-06-22,00700,腾讯控股,HK,380.8,370.0,380.8,370.0,13714137
2022-06-23,00700,腾讯控股,HK,371.8,369.0,379.4,375.0,12620777
2022-06-24,00700,腾讯控股,HK,379.4,374.2,386.0,384.2,18197838
2022-06-27,00700,腾讯控股,HK,387.0,374.6,400.2,378.2,57400982
2022-06-28,00700,腾讯控股,HK,372.8,356.4,373.4,365.8,58585070
2022-06-29,00700,腾讯控股,HK,360.0,356.2,370.4,365.0,34975785
2022-06-30,00700,腾讯控股,HK,360.0,354.0,363.6,354.4,33385197
2022-07-04,00700,腾讯控股,HK,354.4,344.4,356.4,347.0,38455595
2022-07-05,00700,腾讯控股,HK,348.0,347.4,353.4,348.8,19486553
2022-07-06,00700,腾讯控股,HK,349.0,340.8,353.0,347.6,24822317
2022-07-07,00700,腾讯控股,HK,343.2,342.8,351.6,351.6,18985683
2022-07-08,00700,腾讯控股,HK,357.2,348.6,357.2,352.6,18754352
2022-07-11,00700,腾讯控股,HK,344.4,340.2,346.2,342.4,20598133
2022-07-12,00700,腾讯控股,HK,338.6,336.2,340.8,337.8,17307064
2022-07-13,00700,腾讯控股,HK,338.6,335.0,341.2,335.4,17134245
2022-07-14,00700,腾讯控股,HK,334.6,332.0,337.4,335.0,16774995
2022-07-15,00700,腾讯控股,HK,330.0,323.2,332.4,325.0,26328504
2022-07-18,00700,腾讯控股,HK,326.4,321.0,333.8,332.6,20372247
2022-07-19,00700,腾讯控股,HK,331.4,330.0,338.4,333.2,12655564
2022-07-20,00700,腾讯控股,HK,342.0,338.0,342.8,338.6,15982772
2022-07-21,00700,腾讯控股,HK,335.0,329.2,336.6,334.0,19107287
2022-07-22,00700,腾讯控股,HK,337.6,330.0,339.6,332.0,15081236
2022-07-25,00700,腾讯控股,HK,329.6,321.6,330.0,326.4,16847756
2022-07-26,00700,腾讯控股,HK,324.6,323.2,330.4,329.4,13863359
2022-07-27,00700,腾讯控股,HK,325.0,320.0,327.8,320.2,19816350
2022-07-28,00700,腾讯控股,HK,324.6,320.0,325.8,320.8,15349399
2022-07-29,00700,腾讯控股,HK,320.8,305.0,323.4,306.8,37194352
2022-08-01,00700,腾讯控股,HK,302.0,299.6,304.8,299.6,39993630
2022-08-02,00700,腾讯控股,HK,295.2,288.0,295.8,295.0,42691346
2022-08-03,00700,腾讯控股,HK,299.0,298.0,306.4,302.6,27403685
2022-08-04,00700,腾讯控股,HK,307.8,305.2,312.0,312.0,19792022
2022-08-05,00700,腾讯控股,HK,313.4,304.2,314.0,307.6,16442481
2022-08-08,00700,腾讯控股,HK,302.4,298.2,305.8,299.4,15046951
2022-08-09,00700,腾讯控股,HK,300.0,296.4,304.4,298.0,14193448
2022-08-10,00700,腾讯控股,HK,299.6,292.2,299.8,295.6,15358607
2022-08-11,00700,腾讯控股,HK,299.2,298.2,304.6,303.6,14861997
2022-08-12,00700,腾讯控股,HK,304.6,300.2,304.6,304.2,10981685
2022-08-15,00700,腾讯控股,HK,301.8,299.0,305.8,300.4,11622138
2022-08-16,00700,腾讯控股,HK,302.0,292.6,306.0,303.0,23529966
2022-08-17,00700,腾讯控股,HK,303.0,297.0,305.8,303.2,17616313
2022-08-18,00700,腾讯控股,HK,316.0,309.4,316.0,312.6,32206273
2022-08-19,00700,腾讯控股,HK,312.6,312.2,320.0,315.0,23266775
2022-08-22,00700,腾讯控股,HK,312.2,308.2,315.6,310.6,14775320
2022-08-23,00700,腾讯控股,HK,312.0,309.0,314.0,312.8,13530189
2022-08-24,00700,腾讯控股,HK,313.8,307.4,315.4,310.0,13050814
2022-08-25,00700,腾讯控股,HK,312.6,312.6,325.4,325.0,19441009
2022-08-26,00700,腾讯控股,HK,330.2,321.4,330.8,324.2,18576228
2022-08-29,00700,腾讯控股,HK,319.0,316.8,324.8,323.0,12394983
2022-08-30,00700,腾讯控股,HK,323.0,313.8,323.8,323.6,14042944
2022-08-31,00700,腾讯控股,HK,315.0,314.8,334.6,327.2,26206525
2022-09-01,00700,腾讯控股,HK,327.0,324.0,333.6,324.6,23932337
2022-09-02,00700,腾讯控股,HK,323.8,322.2,330.6,328.6,25490848
2022-09-05,00700,腾讯控股,HK,324.0,316.0,324.8,319.0,20370608
2022-09-06,00700,腾讯控股,HK,319.0,311.6,321.6,314.2,16233176
2022-09-07,00700,腾讯控股,HK,309.2,306.2,312.4,311.6,15178496
2022-09-08,00700,腾讯控股,HK,306.8,300.2,310.6,301.8,23574804
2022-09-09,00700,腾讯控股,HK,299.0,299.0,309.4,307.0,17162625
2022-09-13,00700,腾讯控股,HK,308.6,304.4,308.8,304.8,17173715
2022-09-14,00700,腾讯控股,HK,300.4,299.0,304.2,299.6,17988979
2022-09-15,00700,腾讯控股,HK,299.2,299.2,302.4,300.0,13321901
2022-09-16,00700,腾讯控股,HK,297.4,293.2,299.4,293.2,24944190
2022-09-19,00700,腾讯控股,HK,292.2,288.2,292.8,289.0,22924233
2022-09-20,00700,腾讯控股,HK,292.4,292.4,296.6,293.4,15136256
2022-09-21,00700,腾讯控股,HK,290.4,286.0,291.4,286.0,16093175
2022-09-22,00700,腾讯控股,HK,282.0,279.2,285.4,283.0,17537491
2022-09-23,00700,腾讯控股,HK,278.6,275.0,281.4,275.0,19674705
2022-09-26,00700,腾讯控股,HK,273.2,273.2,287.6,283.2,24646712
2022-09-27,00700,腾讯控股,HK,282.4,275.2,283.2,280.8,22729235
2022-09-28,00700,腾讯控股,HK,279.8,273.4,279.8,274.0,22159591
2022-09-29,00700,腾讯控股,HK,278.2,268.2,283.8,270.6,20159158
2022-09-30,00700,腾讯控股,HK,266.8,263.6,276.4,266.4,22458387
2022-10-03,00700,腾讯控股,HK,264.0,259.4,266.8,263.8,13987290
2022-10-05,00700,腾讯控股,HK,274.8,271.2,280.0,279.0,18141455
2022-10-06,00700,腾讯控股,HK,279.0,275.0,282.6,277.8,10374051
2022-10-07,00700,腾讯控股,HK,273.8,270.0,274.4,270.6,9981032
2022-10-10,00700,腾讯控股,HK,266.0,262.8,268.4,263.8,15679704
2022-10-11,00700,腾讯控股,HK,261.6,254.2,262.4,254.6,21324035
2022-10-12,00700,腾讯控股,HK,251.0,248.0,264.0,253.6,32025105
2022-10-13,00700,腾讯控股,HK,254.4,246.2,255.0,246.2,22159044
2022-10-14,00700,腾讯控股,HK,250.0,248.4,258.8,249.2,31457117
2022-10-17,00700,腾讯控股,HK,245.2,240.8,250.8,247.2,26319069
2022-10-18,00700,腾讯控股,HK,252.0,249.4,256.6,254.4,22129580
2022-10-19,00700,腾讯控股,HK,251.6,243.6,252.6,244.0,20957367
2022-10-20,00700,腾讯控股,HK,237.0,231.0,239.2,232.4,49410926
2022-10-21,00700,腾讯控股,HK,232.0,230.2,236.4,232.8,26545936
2022-10-24,00700,腾讯控股,HK,224.0,205.2,226.0,206.2,85067932
2022-10-25,00700,腾讯控股,HK,202.0,198.6,215.6,206.4,73016944
2022-10-26,00700,腾讯控股,HK,204.8,202.2,218.4,211.6,50349233
2022-10-27,00700,腾讯控股,HK,221.2,211.8,222.0,213.2,42717088
