date,stock_code,stock_name,market,open,high,low,close,volume
2022-03-11,09988,阿里巴巴,HK,90.55,88.05,92.15,90.8,74997978
2022-03-14,09988,阿里巴巴,HK,86.15,80.25,86.6,80.9,99109140
2022-03-15,09988,阿里巴巴,HK,73.8,71.0,79.35,71.25,166892058
2022-03-16,09988,阿里巴巴,HK,74.5,73.7,91.05,90.7,159307067
2022-03-17,09988,阿里巴巴,HK,104.0,95.3,104.0,102.0,147199025
2022-03-18,09988,阿里巴巴,HK,97.15,95.0,100.2,98.35,69216323
2022-03-21,09988,阿里巴巴,HK,104.8,97.25,104.8,99.1,78145126
2022-03-22,09988,阿里巴巴,HK,102.3,102.1,111.4,110.2,82216795
2022-03-23,09988,阿里巴巴,HK,114.6,112.5,119.4,117.6,109736384
2022-03-24,09988,阿里巴巴,HK,116.4,113.5,119.0,113.8,56175392
2022-03-25,09988,阿里巴巴,HK,111.4,104.8,113.5,107.4,59754137
2022-03-28,09988,阿里巴巴,HK,107.4,106.1,113.5,111.1,35856686
2022-03-29,09988,阿里巴巴,HK,112.7,112.2,114.8,113.5,28129247
2022-03-30,09988,阿里巴巴,HK,115.0,112.6,115.7,113.9,43050119
2022-03-31,09988,阿里巴巴,HK,114.9,109.7,114.9,112.1,26780152
2022-04-01,09988,阿里巴巴,HK,106.8,105.7,109.7,109.7,38709405
2022-04-04,09988,阿里巴巴,HK,110.6,110.0,114.6,113.7,41875311
2022-04-06,09988,阿里巴巴,HK,109.1,107.1,109.8,107.6,46638063
2022-04-07,09988,阿里巴巴,HK,106.4,105.2,108.9,105.2,35575706
2022-04-08,09988,阿里巴巴,HK,102.8,101.5,103.8,103.8,38153586
2022-04-11,09988,阿里巴巴,HK,102.8,97.85,103.0,98.5,40131164
2022-04-12,09988,阿里巴巴,HK,98.5,96.35,100.6,99.0,39683531
2022-04-13,09988,阿里巴巴,HK,98.4,97.0,99.5,98.5,24650087
2022-04-14,09988,阿里巴巴,HK,97.65,93.85,98.0,95.5,52348941
2022-04-19,09988,阿里巴巴,HK,92.55,90.9,93.45,91.5,34060706
2022-04-20,09988,阿里巴巴,HK,91.1,90.3,92.95,90.7,24190299
2022-04-21,09988,阿里巴巴,HK,88.75,86.5,89.7,87.9,37481397
2022-04-22,09988,阿里巴巴,HK,83.5,83.4,87.35,86.65,33414007
2022-04-25,09988,阿里巴巴,HK,84.8,81.2,84.95,81.85,43001305
2022-04-26,09988,阿里巴巴,HK,84.5,83.75,87.9,84.9,38304821
2022-04-27,09988,阿里巴巴,HK,84.35,83.0,85.45,84.55,27917828
2022-04-28,09988,阿里巴巴,HK,88.0,86.3,88.55,88.25,40675166
2022-04-29,09988,阿里巴巴,HK,88.25,87.15,103.8,102.1,102134425
2022-05-03,09988,阿里巴巴,HK,100.0,92.5,103.1,100.3,103238870
2022-05-04,09988,阿里巴巴,HK,98.5,95.85,98.55,96.55,29177225
2022-05-05,09988,阿里巴巴,HK,99.5,96.2,101.1,96.7,27991225
2022-05-06,09988,阿里巴巴,HK,92.05,89.3,92.85,90.35,50887668
2022-05-10,09988,阿里巴巴,HK,83.5,83.15,87.2,86.0,64139439
2022-05-11,09988,阿里巴巴,HK,83.7,83.6,87.95,85.65,63211009
2022-05-12,09988,阿里巴巴,HK,81.85,79.9,82.55,80.0,69966835
2022-05-13,09988,阿里巴巴,HK,82.2,81.25,82.85,82.2,53688518
2022-05-16,09988,阿里巴巴,HK,86.0,83.1,86.25,84.6,37186669
2022-05-17,09988,阿里巴巴,HK,87.5,86.65,91.8,90.55,65364000
2022-05-18,09988,阿里巴巴,HK,90.55,87.8,90.55,90.0,40887159
2022-05-19,09988,阿里巴巴,HK,85.0,82.75,85.4,83.35,63967045
2022-05-20,09988,阿里巴巴,HK,86.3,85.6,88.8,88.05,37411832
2022-05-23,09988,阿里巴巴,HK,86.2,83.85,86.55,85.1,48116001
2022-05-24,09988,阿里巴巴,HK,84.8,82.9,86.3,83.6,41592157
2022-05-25,09988,阿里巴巴,HK,82.0,81.35,84.15,82.35,39360501
2022-05-26,09988,阿里巴巴,HK,82.0,79.65,82.0,81.1,44520428
2022-05-27,09988,阿里巴巴,HK,91.0,89.85,92.4,91.0,94943603
2022-05-30,09988,阿里巴巴,HK,91.7,91.3,94.9,94.9,58244941
2022-05-31,09988,阿里巴巴,HK,94.6,93.1,97.5,96.25,87590516
2022-06-01,09988,阿里巴巴,HK,96.0,94.0,96.2,94.6,34758451
2022-06-02,09988,阿里巴巴,HK,91.75,91.0,93.0,92.3,38921083
2022-06-06,09988,阿里巴巴,HK,92.85,91.25,98.6,96.95,61560025
2022-06-07,09988,阿里巴巴,HK,96.95,96.15,101.8,98.8,88847430
2022-06-08,09988,阿里巴巴,HK,103.4,102.5,110.4,108.8,116293353
2022-06-09,09988,阿里巴巴,HK,116.2,108.1,116.3,111.3,113806634
2022-06-10,09988,阿里巴巴,HK,107.6,107.0,116.0,112.8,107826465
2022-06-13,09988,阿里巴巴,HK,106.2,103.5,108.4,103.8,85883479
2022-06-14,09988,阿里巴巴,HK,98.25,97.2,102.4,101.2,79243938
2022-06-15,09988,阿里巴巴,HK,105.0,104.3,106.7,105.6,62840727
2022-06-16,09988,阿里巴巴,HK,108.8,100.4,109.8,102.4,51964072
2022-06-17,09988,阿里巴巴,HK,100.1,100.0,104.8,104.5,98242313
2022-06-20,09988,阿里巴巴,HK,102.0,99.65,104.6,104.4,64777753
2022-06-21,09988,阿里巴巴,HK,104.5,103.4,106.1,105.8,56377679
2022-06-22,09988,阿里巴巴,HK,104.8,101.5,105.1,101.5,56378203
2022-06-23,09988,阿里巴巴,HK,104.9,103.4,109.9,108.0,80541807
2022-06-24,09988,阿里巴巴,HK,112.6,111.5,115.5,113.9,88759544
2022-06-27,09988,阿里巴巴,HK,117.3,116.1,120.4,118.1,98194624
2022-06-28,09988,阿里巴巴,HK,117.6,112.6,119.1,118.1,70432843
2022-06-29,09988,阿里巴巴,HK,114.5,113.0,116.3,114.5,54735988
2022-06-30,09988,阿里巴巴,HK,113.6,110.7,114.4,111.9,47263509
2022-07-04,09988,阿里巴巴,HK,111.6,109.4,114.1,113.2,38788782
2022-07-05,09988,阿里巴巴,HK,116.3,114.7,118.4,115.2,45974352
2022-07-06,09988,阿里巴巴,HK,119.0,114.6,119.0,117.0,52058276
2022-07-07,09988,阿里巴巴,HK,115.3,113.5,117.5,116.7,40428095
2022-07-08,09988,阿里巴巴,HK,122.0,119.8,122.0,121.0,58168745
2022-07-11,09988,阿里巴巴,HK,117.3,112.0,117.9,114.0,59279763
2022-07-12,09988,阿里巴巴,HK,108.3,107.1,109.6,107.8,61833006
2022-07-13,09988,阿里巴巴,HK,107.5,107.0,109.5,107.4,37018374
2022-07-14,09988,阿里巴巴,HK,107.8,107.5,110.4,108.7,39688425
2022-07-15,09988,阿里巴巴,HK,102.5,102.1,106.1,102.2,60291037
2022-07-18,09988,阿里巴巴,HK,100.8,99.85,104.3,103.9,54210503
2022-07-19,09988,阿里巴巴,HK,101.8,100.1,102.2,100.9,40614536
2022-07-20,09988,阿里巴巴,HK,104.8,103.2,105.7,103.2,40062258
2022-07-21,09988,阿里巴巴,HK,102.8,101.2,104.0,102.0,38969577
2022-07-22,09988,阿里巴巴,HK,102.7,101.7,103.7,102.1,25271063
2022-07-25,09988,阿里巴巴,HK,100.0,99.1,100.7,99.6,41783554
2022-07-26,09988,阿里巴巴,HK,103.0,102.5,106.1,104.4,62335905
2022-07-27,09988,阿里巴巴,HK,101.0,99.9,101.2,101.0,59523684
2022-07-28,09988,阿里巴巴,HK,100.8,99.1,100.8,99.15,47788609
2022-07-29,09988,阿里巴巴,HK,98.7,91.7,98.7,93.1,101884460
2022-08-01,09988,阿里巴巴,HK,88.1,87.8,91.65,89.6,90581313
2022-08-02,09988,阿里巴巴,HK,89.0,86.1,89.0,87.05,67822076
2022-08-03,09988,阿里巴巴,HK,90.85,89.2,91.85,90.35,43309986
2022-08-04,09988,阿里巴巴,HK,95.55,93.35,96.2,95.0,52297501
2022-08-05,09988,阿里巴巴,HK,95.4,91.9,95.65,92.9,50440861
2022-08-08,09988,阿里巴巴,HK,90.0,88.5,90.25,88.8,47770883
2022-08-09,09988,阿里巴巴,HK,90.0,88.45,91.7,89.6,44942429
2022-08-10,09988,阿里巴巴,HK,89.35,86.8,89.65,87.95,37209371
2022-08-11,09988,阿里巴巴,HK,91.0,89.4,92.4,91.75,52998669
2022-08-12,09988,阿里巴巴,HK,92.9,91.25,93.4,92.9,26387695
2022-08-15,09988,阿里巴巴,HK,91.8,91.7,93.8,91.75,23076972
2022-08-16,09988,阿里巴巴,HK,92.0,88.55,92.4,89.95,33043745
2022-08-17,09988,阿里巴巴,HK,90.8,89.65,91.4,90.35,24355633
2022-08-18,09988,阿里巴巴,HK,89.0,87.5,89.05,88.25,41421479
2022-08-19,09988,阿里巴巴,HK,88.0,87.85,90.25,89.5,26850751
2022-08-22,09988,阿里巴巴,HK,87.8,87.7,89.75,88.5,34067261
2022-08-23,09988,阿里巴巴,HK,89.0,86.75,89.3,88.4,36228033
2022-08-24,09988,阿里巴巴,HK,86.85,85.5,87.5,86.25,35976874
2022-08-25,09988,阿里巴巴,HK,90.0,88.9,95.2,93.8,66382425
2022-08-26,09988,阿里巴巴,HK,97.65,94.7,97.65,95.8,54668306
2022-08-29,09988,阿里巴巴,HK,94.75,93.8,96.8,95.15,37070401
2022-08-30,09988,阿里巴巴,HK,95.4,92.7,95.45,95.2,35706777
2022-08-31,09988,阿里巴巴,HK,91.9,91.5,96.9,94.3,52002425
2022-09-01,09988,阿里巴巴,HK,93.85,91.85,95.55,92.2,41471390
2022-09-02,09988,阿里巴巴,HK,92.0,90.2,92.75,90.65,40477868
