date,code,open,high,low,close,volume,stock_code,stock_name,market
2022-01-04,sz.300229,10.38,10.62,10.36,10.56,21651452,300229,拓尔思,SZ
2022-01-05,sz.300229,10.55,10.72,10.27,10.47,21093013,300229,拓尔思,SZ
2022-01-06,sz.300229,10.39,10.51,10.28,10.33,11886003,300229,拓尔思,SZ
2022-01-07,sz.300229,10.37,10.65,10.18,10.2,14913934,300229,拓尔思,SZ
2022-01-10,sz.300229,10.2,10.78,10.08,10.69,21837001,300229,拓尔思,SZ
2022-01-11,sz.300229,10.83,10.83,10.52,10.73,16680740,300229,拓尔思,SZ
2022-01-12,sz.300229,10.82,10.95,10.68,10.93,17450256,300229,拓尔思,SZ
2022-01-13,sz.300229,11.01,11.18,10.88,11.0,19045821,300229,拓尔思,SZ
2022-01-14,sz.300229,10.94,11.44,10.9,11.41,22498766,300229,拓尔思,SZ
2022-01-17,sz.300229,11.51,12.05,11.47,11.65,33257929,300229,拓尔思,SZ
2022-01-18,sz.300229,11.53,11.96,11.43,11.48,29471966,300229,拓尔思,SZ
2022-01-19,sz.300229,11.21,11.74,11.21,11.67,20100887,300229,拓尔思,SZ
2022-01-20,sz.300229,11.7,12.18,11.36,11.93,27155900,300229,拓尔思,SZ
2022-01-21,sz.300229,11.75,11.9,11.45,11.71,19931149,300229,拓尔思,SZ
2022-01-24,sz.300229,11.51,11.93,11.45,11.93,17860258,300229,拓尔思,SZ
2022-01-25,sz.300229,11.84,11.92,11.2,11.26,22013155,300229,拓尔思,SZ
2022-01-26,sz.300229,11.31,11.66,11.0,11.36,22562048,300229,拓尔思,SZ
2022-01-27,sz.300229,11.11,11.24,10.45,10.48,23543403,300229,拓尔思,SZ
2022-01-28,sz.300229,10.6,11.42,10.6,10.95,20567616,300229,拓尔思,SZ
2022-02-07,sz.300229,11.2,11.29,10.61,10.82,12101400,300229,拓尔思,SZ
2022-02-08,sz.300229,10.91,11.54,10.73,11.39,20947550,300229,拓尔思,SZ
2022-02-09,sz.300229,11.38,11.72,11.32,11.63,16468508,300229,拓尔思,SZ
2022-02-10,sz.300229,11.5,11.61,11.38,11.54,10080064,300229,拓尔思,SZ
2022-02-11,sz.300229,11.51,11.53,10.97,11.07,16355932,300229,拓尔思,SZ
2022-02-14,sz.300229,11.0,11.07,10.75,10.81,9836050,300229,拓尔思,SZ
2022-02-15,sz.300229,10.96,11.07,10.66,10.78,9580423,300229,拓尔思,SZ
2022-02-16,sz.300229,11.1,11.24,10.77,10.84,9378750,300229,拓尔思,SZ
2022-02-17,sz.300229,10.82,11.05,10.66,10.78,8716600,300229,拓尔思,SZ
