date,code,open,high,low,close,volume,stock_code,stock_name,market
2022-01-04,sz.300316,69.5,70.06,64.0,64.63,26121373,300316,晶盛机电,SZ
2022-01-05,sz.300316,65.2,65.38,60.3,61.66,20029511,300316,晶盛机电,SZ
2022-01-06,sz.300316,59.61,61.5,59.1,60.44,16186684,300316,晶盛机电,SZ
2022-01-07,sz.300316,60.54,61.46,57.66,58.74,16440763,300316,晶盛机电,SZ
2022-01-10,sz.300316,58.6,58.6,56.0,56.67,16004163,300316,晶盛机电,SZ
2022-01-11,sz.300316,56.59,57.23,55.86,56.45,13091795,300316,晶盛机电,SZ
2022-01-12,sz.300316,56.78,59.21,56.18,59.09,15788844,300316,晶盛机电,SZ
2022-01-13,sz.300316,59.45,61.66,57.38,59.46,18912981,300316,晶盛机电,SZ
2022-01-14,sz.300316,59.1,62.99,59.0,61.25,17001063,300316,晶盛机电,SZ
2022-01-17,sz.300316,62.19,63.57,61.66,62.85,11446786,300316,晶盛机电,SZ
2022-01-18,sz.300316,62.49,63.36,61.74,62.47,8529940,300316,晶盛机电,SZ
2022-01-19,sz.300316,62.39,62.39,60.65,60.99,8416330,300316,晶盛机电,SZ
2022-01-20,sz.300316,61.48,61.94,59.89,60.3,8279543,300316,晶盛机电,SZ
2022-01-21,sz.300316,60.32,60.95,58.81,59.35,7013855,300316,晶盛机电,SZ
2022-01-24,sz.300316,59.32,62.0,59.02,61.4,8652391,300316,晶盛机电,SZ
2022-01-25,sz.300316,61.25,62.7,60.75,60.77,8557392,300316,晶盛机电,SZ
2022-01-26,sz.300316,60.7,61.73,59.88,61.5,6384620,300316,晶盛机电,SZ
2022-01-27,sz.300316,61.35,61.35,58.01,58.2,14244408,300316,晶盛机电,SZ
2022-01-28,sz.300316,58.24,59.34,56.8,57.29,11104558,300316,晶盛机电,SZ
2022-02-07,sz.300316,58.6,60.27,57.8,59.43,10501550,300316,晶盛机电,SZ
2022-02-08,sz.300316,60.0,60.0,55.16,55.81,12347794,300316,晶盛机电,SZ
2022-02-09,sz.300316,55.75,57.45,54.7,57.23,12296461,300316,晶盛机电,SZ
2022-02-10,sz.300316,57.2,57.8,55.61,57.1,9833683,300316,晶盛机电,SZ
2022-02-11,sz.300316,56.0,56.43,53.88,54.04,11911740,300316,晶盛机电,SZ
2022-02-14,sz.300316,53.14,55.7,52.84,54.3,12431002,300316,晶盛机电,SZ
2022-02-15,sz.300316,55.2,57.1,54.3,57.05,12214722,300316,晶盛机电,SZ
2022-02-16,sz.300316,57.44,57.7,56.34,56.94,6434117,300316,晶盛机电,SZ
2022-02-17,sz.300316,56.8,60.36,56.8,59.18,10394108,300316,晶盛机电,SZ
2022-02-18,sz.300316,58.87,59.45,56.39,57.1,9980594,300316,晶盛机电,SZ
2022-02-21,sz.300316,57.03,57.49,55.92,57.31,7043336,300316,晶盛机电,SZ
2022-02-22,sz.300316,57.0,60.3,56.3,60.1,14755282,300316,晶盛机电,SZ
2022-02-23,sz.300316,60.53,63.83,60.11,62.57,18916056,300316,晶盛机电,SZ
2022-02-24,sz.300316,62.7,64.18,61.7,62.56,9723521,300316,晶盛机电,SZ
2022-02-25,sz.300316,64.07,64.59,62.07,63.6,9859334,300316,晶盛机电,SZ
2022-02-28,sz.300316,63.68,65.2,63.25,65.0,10201765,300316,晶盛机电,SZ
2022-03-01,sz.300316,65.17,66.14,63.68,64.28,10072409,300316,晶盛机电,SZ
2022-03-02,sz.300316,63.6,63.94,62.66,63.38,6066582,300316,晶盛机电,SZ
2022-03-03,sz.300316,63.84,63.99,61.8,62.14,7134748,300316,晶盛机电,SZ
2022-03-04,sz.300316,61.98,63.7,61.71,62.18,7457336,300316,晶盛机电,SZ
2022-03-07,sz.300316,61.29,62.6,60.4,60.74,8518995,300316,晶盛机电,SZ
2022-03-08,sz.300316,60.73,62.65,60.3,60.44,13176483,300316,晶盛机电,SZ
2022-03-09,sz.300316,62.0,63.6,58.0,60.68,16500043,300316,晶盛机电,SZ
2022-03-10,sz.300316,62.6,64.23,61.66,62.93,14745843,300316,晶盛机电,SZ
2022-03-11,sz.300316,61.94,63.26,60.64,62.83,10197345,300316,晶盛机电,SZ
2022-03-14,sz.300316,61.75,62.88,59.51,59.66,12448255,300316,晶盛机电,SZ
2022-03-15,sz.300316,59.0,60.28,57.18,57.43,13259840,300316,晶盛机电,SZ
2022-03-16,sz.300316,58.53,60.1,55.25,59.45,14031243,300316,晶盛机电,SZ
2022-03-17,sz.300316,60.66,62.65,59.72,61.3,13315074,300316,晶盛机电,SZ
2022-03-18,sz.300316,61.15,61.44,59.09,60.15,7578071,300316,晶盛机电,SZ
