date,code,open,high,low,close,volume,stock_code,stock_name,market
2022-01-04,sh.601600,6.11,6.12,6.0,6.07,220686791,601600,中国铝业,SH
2022-01-05,sh.601600,6.04,6.05,5.7,5.82,372622528,601600,中国铝业,SH
2022-01-06,sh.601600,5.8,5.93,5.77,5.86,185733531,601600,中国铝业,SH
2022-01-07,sh.601600,5.86,6.06,5.82,5.99,276188816,601600,中国铝业,SH
2022-01-10,sh.601600,5.97,6.17,5.93,6.09,228029209,601600,中国铝业,SH
2022-01-11,sh.601600,6.11,6.3,6.07,6.23,361285200,601600,中国铝业,SH
2022-01-12,sh.601600,6.33,6.38,6.13,6.25,240480963,601600,中国铝业,SH
2022-01-13,sh.601600,6.23,6.3,6.08,6.09,234814267,601600,中国铝业,SH
2022-01-14,sh.601600,6.02,6.06,5.9,5.93,208534811,601600,中国铝业,SH
2022-01-17,sh.601600,5.86,5.91,5.76,5.86,179320758,601600,中国铝业,SH
2022-01-18,sh.601600,5.85,6.0,5.81,5.95,172650863,601600,中国铝业,SH
2022-01-19,sh.601600,5.99,6.1,5.89,5.97,192336343,601600,中国铝业,SH
2022-01-20,sh.601600,5.95,6.03,5.86,5.9,133454033,601600,中国铝业,SH
2022-01-21,sh.601600,5.88,5.93,5.77,5.84,146279871,601600,中国铝业,SH
2022-01-24,sh.601600,5.71,5.74,5.57,5.7,159748432,601600,中国铝业,SH
2022-01-25,sh.601600,5.68,5.77,5.4,5.41,191711295,601600,中国铝业,SH
2022-01-26,sh.601600,5.49,5.73,5.45,5.66,242659917,601600,中国铝业,SH
2022-01-27,sh.601600,5.67,5.71,5.52,5.53,146810134,601600,中国铝业,SH
2022-01-28,sh.601600,5.38,5.42,5.1,5.26,314247248,601600,中国铝业,SH
2022-02-07,sh.601600,5.37,5.65,5.33,5.62,237406559,601600,中国铝业,SH
2022-02-08,sh.601600,5.65,5.95,5.61,5.89,280533968,601600,中国铝业,SH
2022-02-09,sh.601600,6.13,6.23,6.04,6.15,422193168,601600,中国铝业,SH
2022-02-10,sh.601600,6.28,6.38,6.16,6.26,410583552,601600,中国铝业,SH
