date,code,open,high,low,close,volume,stock_code,stock_name,market
2025-12-05,sh.688795,650.0,688.0,556.0,600.5,25120082,688795,摩尔线程,SH
2025-12-08,sh.688795,579.75,611.0,561.0,594.25,10274344,688795,摩尔线程,SH
2025-12-09,sh.688795,579.85,628.86,576.6,628.31,9026828,688795,摩尔线程,SH
2025-12-10,sh.688795,620.08,797.97,617.01,735.0,15258508,688795,摩尔线程,SH
2025-12-11,sh.688795,729.0,941.08,701.33,941.08,15113340,688795,摩尔线程,SH
2025-12-12,sh.688795,879.0,915.0,758.0,814.88,12418081,688795,摩尔线程,SH
2025-12-15,sh.688795,761.0,806.0,750.0,764.9,8414456,688795,摩尔线程,SH
2025-12-16,sh.688795,761.2,770.0,707.12,710.39,7520992,688795,摩尔线程,SH
2025-12-17,sh.688795,702.0,725.99,691.0,714.8,6573705,688795,摩尔线程,SH
2025-12-18,sh.688795,700.0,734.99,691.0,705.71,4889770,688795,摩尔线程,SH
2025-12-19,sh.688795,710.0,710.98,662.0,664.1,5872093,688795,摩尔线程,SH
2025-12-22,sh.688795,671.0,692.0,666.67,673.0,4545413,688795,摩尔线程,SH
2025-12-23,sh.688795,665.0,685.0,661.0,676.8,3874897,688795,摩尔线程,SH
2025-12-24,sh.688795,670.0,672.98,628.31,634.01,5716285,688795,摩尔线程,SH
2025-12-25,sh.688795,630.02,647.1,623.45,628.86,4480407,688795,摩尔线程,SH
2025-12-26,sh.688795,618.96,626.18,603.9,617.3,3839991,688795,摩尔线程,SH
2025-12-29,sh.688795,611.0,626.66,611.0,615.02,2945785,688795,摩尔线程,SH
2025-12-30,sh.688795,614.97,625.0,601.5,609.21,3377887,688795,摩尔线程,SH
2025-12-31,sh.688795,605.0,609.98,585.01,587.9,3595231,688795,摩尔线程,SH
2026-01-05,sh.688795,584.5,619.79,583.51,619.65,5101965,688795,摩尔线程,SH
2026-01-06,sh.688795,620.0,636.5,611.3,614.0,4418122,688795,摩尔线程,SH
2026-01-07,sh.688795,609.02,628.6,608.08,617.54,3394912,688795,摩尔线程,SH
2026-01-08,sh.688795,614.55,679.0,614.55,674.02,7156738,688795,摩尔线程,SH
2026-01-09,sh.688795,660.0,668.68,646.0,664.25,4583933,688795,摩尔线程,SH
2026-01-12,sh.688795,658.0,663.0,641.77,648.59,3796383,688795,摩尔线程,SH
2026-01-13,sh.688795,655.0,688.0,645.2,650.15,4210385,688795,摩尔线程,SH
2026-01-14,sh.688795,644.99,656.88,633.8,648.0,3526858,688795,摩尔线程,SH
2026-01-15,sh.688795,640.05,647.0,622.0,635.74,2810632,688795,摩尔线程,SH
2026-01-16,sh.688795,636.9,649.9,634.62,646.76,2723169,688795,摩尔线程,SH
2026-01-19,sh.688795,645.0,649.83,632.5,633.3,2341802,688795,摩尔线程,SH
2026-01-20,sh.688795,633.26,633.26,610.08,615.21,2379999,688795,摩尔线程,SH
2026-01-21,sh.688795,611.2,640.0,609.5,627.3,2661282,688795,摩尔线程,SH
2026-01-22,sh.688795,635.0,655.77,623.13,628.6,2533411,688795,摩尔线程,SH
2026-01-23,sh.688795,623.9,625.6,616.08,618.53,1889522,688795,摩尔线程,SH
2026-01-26,sh.688795,617.0,617.0,597.7,603.01,2095886,688795,摩尔线程,SH
2026-01-27,sh.688795,598.1,609.65,595.0,605.42,1696807,688795,摩尔线程,SH
2026-01-28,sh.688795,605.42,616.8,600.4,602.88,1570909,688795,摩尔线程,SH
2026-01-29,sh.688795,602.95,602.98,590.0,590.08,1849733,688795,摩尔线程,SH
2026-01-30,sh.688795,588.01,595.42,581.11,590.01,1465287,688795,摩尔线程,SH
2026-02-02,sh.688795,581.02,588.0,568.55,570.0,1948393,688795,摩尔线程,SH
2026-02-03,sh.688795,571.55,575.0,536.2,554.92,2725457,688795,摩尔线程,SH
2026-02-04,sh.688795,548.99,553.09,538.35,543.87,1432387,688795,摩尔线程,SH
2026-02-05,sh.688795,538.0,543.0,530.0,534.58,1277922,688795,摩尔线程,SH
2026-02-06,sh.688795,530.0,542.69,523.01,536.99,1643157,688795,摩尔线程,SH
